n_components,Metric,Mean,Std,Method
5,Accuracy,0.9837624223602484,0.0100503408864136,PCA
5,Macro Precision,0.9814968620184712,0.0113482342102761,PCA
5,Macro Recall,0.9815126071884692,0.0129350657027273,PCA
5,Macro F1,0.9811177157509112,0.0120820521065116,PCA
5,Macro ROC AUC,0.9990168221464556,0.0012427600482282,PCA
10,Accuracy,0.9957515527950308,0.0056244302200324,PCA
10,Macro Precision,0.9966279348079145,0.004784607211608,PCA
10,Macro Recall,0.9947911330049262,0.0075643177215625,PCA
10,Macro F1,0.995652328090704,0.006091142525791,PCA
10,Macro ROC AUC,0.9999696538578684,5.195657885672349e-05,PCA
25,Accuracy,0.9985,0.0041457809879442,PCA
25,Macro Precision,0.998356351150472,0.0050632174122417,PCA
25,Macro Recall,0.997609523809524,0.0064014086637097,PCA
25,Macro F1,0.9979557862932458,0.0057463464972872,PCA
25,Macro ROC AUC,0.9999885206125292,4.29692140913804e-05,PCA
50,Accuracy,0.9995,0.0017305466381079,PCA
50,Macro Precision,0.999448275862069,0.0019095687041191,PCA
50,Macro Recall,0.999,0.0034610932762158,PCA
50,Macro F1,0.999203169213356,0.0027579056779354,PCA
50,Macro ROC AUC,1.0,0.0,PCA
5,Accuracy,0.728580745341615,0.0231302708521415,GRP
5,Macro Precision,0.7118659635436414,0.0270270979320653,GRP
5,Macro Recall,0.7033946360153257,0.0231928273203668,GRP
5,Macro F1,0.703946077405308,0.022665635517333,GRP
5,Macro ROC AUC,0.9213309085282004,0.0101154201690492,GRP
10,Accuracy,0.8037158385093168,0.0252394295033653,GRP
10,Macro Precision,0.8073349044910556,0.0281559572784701,GRP
10,Macro Recall,0.8043967524174421,0.0297880387215898,GRP
10,Macro F1,0.8036702039506958,0.028278721058567,GRP
10,Macro ROC AUC,0.952607274773144,0.0093519499989751,GRP
25,Accuracy,0.8938649068322981,0.0260491743289774,GRP
25,Macro Precision,0.888717625936427,0.0306672847928588,GRP
25,Macro Recall,0.8924945265462506,0.0254436691436087,GRP
25,Macro F1,0.8890118872562239,0.0272350345692791,GRP
25,Macro ROC AUC,0.9802288802846162,0.0083108726755673,GRP
50,Accuracy,0.9620419254658386,0.0132481085125415,GRP
50,Macro Precision,0.9578073693642346,0.0151815099772514,GRP
50,Macro Recall,0.96546673964605,0.0117160489227009,GRP
50,Macro F1,0.9609254371197048,0.013300101244262,GRP
50,Macro ROC AUC,0.9980748860372988,0.0010886278873856,GRP
5,Accuracy,0.5810046583850932,0.0336904912993505,SRP
5,Macro Precision,0.5909825143834422,0.0418562972666679,SRP
5,Macro Recall,0.5623968436416711,0.033342754068304,SRP
5,Macro F1,0.5676524335361727,0.0349738985433823,SRP
5,Macro ROC AUC,0.8516970573074163,0.0184614249846965,SRP
10,Accuracy,0.7837577639751554,0.0242964642137029,SRP
10,Macro Precision,0.7597403839379647,0.0339282712551358,SRP
10,Macro Recall,0.7572113665389527,0.0285926574142407,SRP
10,Macro F1,0.755249518224338,0.0299549380390456,SRP
10,Macro ROC AUC,0.9483239885936194,0.0096349432783252,SRP
25,Accuracy,0.8851475155279503,0.0151570281527755,SRP
25,Macro Precision,0.8847524608741779,0.0155086745495262,SRP
25,Macro Recall,0.8938929392446633,0.014554077703772,SRP
25,Macro F1,0.8872109775817303,0.0142790405021262,SRP
25,Macro ROC AUC,0.976137499298278,0.0063465997666791,SRP
50,Accuracy,0.9428229813664598,0.0198041753872491,SRP
50,Macro Precision,0.9377129787054372,0.0241729073553169,SRP
50,Macro Recall,0.946831326400292,0.0182796565691939,SRP
50,Macro F1,0.9410374769068336,0.0214751748195844,SRP
50,Macro ROC AUC,0.9941160973497992,0.0034423335194203,SRP
5,Accuracy,0.936079192546584,0.017597825127849,KPCA (RBF)
5,Macro Precision,0.9607680563786716,0.0118409899691692,KPCA (RBF)
5,Macro Recall,0.922098266739646,0.0221529854573755,KPCA (RBF)
5,Macro F1,0.9384743416342144,0.0177549659352587,KPCA (RBF)
5,Macro ROC AUC,0.9956838603577256,0.0017978877541384,KPCA (RBF)
10,Accuracy,0.9657888198757764,0.0142105028669617,KPCA (RBF)
10,Macro Precision,0.981886466966237,0.0065527787076499,KPCA (RBF)
10,Macro Recall,0.9565754424375116,0.0175547164202963,KPCA (RBF)
10,Macro F1,0.967882087870788,0.0129000920130821,KPCA (RBF)
10,Macro ROC AUC,0.9997260293055086,0.0003239455574001,KPCA (RBF)
25,Accuracy,0.9677888198757764,0.0146070251562799,KPCA (RBF)
25,Macro Precision,0.9826333772436098,0.0072304926345158,KPCA (RBF)
25,Macro Recall,0.9588626163108924,0.0177769114778647,KPCA (RBF)
25,Macro F1,0.9695135228304724,0.0133158929991846,KPCA (RBF)
25,Macro ROC AUC,0.9998113431644474,0.0002514547794445,KPCA (RBF)
50,Accuracy,0.971027950310559,0.0126218420991892,KPCA (RBF)
50,Macro Precision,0.9842982591926096,0.0060478134712874,KPCA (RBF)
50,Macro Recall,0.9627722130997992,0.0156579392507765,KPCA (RBF)
50,Macro F1,0.972471996392288,0.0114999570410798,KPCA (RBF)
50,Macro ROC AUC,0.9998243477167464,0.0002261718739638,KPCA (RBF)
5,Accuracy,0.9770217391304348,0.0113670277250439,KPCA (Polynomial)
5,Macro Precision,0.9794693127398524,0.0093349942422381,KPCA (Polynomial)
5,Macro Recall,0.9692353585112206,0.0172124820929481,KPCA (Polynomial)
5,Macro F1,0.9734117542393036,0.0139904853499091,KPCA (Polynomial)
5,Macro ROC AUC,0.9983027177874524,0.0016337141102273,KPCA (Polynomial)
10,Accuracy,0.9912562111801244,0.0072191338959323,KPCA (Polynomial)
10,Macro Precision,0.9939729934601248,0.005356968112033,KPCA (Polynomial)
10,Macro Recall,0.987277303411786,0.0116234521037761,KPCA (Polynomial)
10,Macro F1,0.9903649079033384,0.0088535677616376,KPCA (Polynomial)
10,Macro ROC AUC,0.999928489768848,0.0001355462668861,KPCA (Polynomial)
25,Accuracy,0.994253105590062,0.0067312242976814,KPCA (Polynomial)
25,Macro Precision,0.996240189815864,0.0048382441934884,KPCA (Polynomial)
25,Macro Recall,0.9919097792373656,0.0106936152348674,KPCA (Polynomial)
25,Macro F1,0.9939345423523585,0.0079977841614341,KPCA (Polynomial)
25,Macro ROC AUC,0.9999757434007364,5.471144124908531e-05,KPCA (Polynomial)
50,Accuracy,0.996501552795031,0.0057274483024972,KPCA (Polynomial)
50,Macro Precision,0.9974277318762156,0.0043301729916418,KPCA (Polynomial)
50,Macro Recall,0.9944333333333334,0.0095402437570966,KPCA (Polynomial)
50,Macro F1,0.9958104800062884,0.0071560875798407,KPCA (Polynomial)
50,Macro ROC AUC,0.9999835283528352,3.9910768447394736e-05,KPCA (Polynomial)
